PRODUCT_ID,PRODUCT_NAME,PRODUCT_TYPE,PRICE,COST,UNIT_MEASURE,BRAND_NAME
10101,Milk,Dairy,3.5,2.8,Gallon,Great Value
10102,Cheese,Dairy,4.0,3.2,Pound,Kraft
10201,Bread,Bakery,2.0,1.6,Loaf,Wonder
10202,Cake,Bakery,10.0,8.0,Each,Sara Lee
10301,Soda,Beverages,1.5,1.2,Can,Coca Cola
10302,Juice,Beverages,3.0,2.4,Bottle,Tropicana
20101,iPhone,Mobile Phones,999.0,799.2,Each,Apple
20201,Charger,Accessories,20.0,16.0,Each,Anker
20401,PlayStation 5,Gaming Consoles,499.0,399.2,Each,Sony
30101,Men's T-Shirt,Men's Clothing,15.0,12.0,Each,Hanes
40101,Sofa,Living Room Furniture,500.0,400.0,Each,Ashley
50101,Tent,Outdoor Gear,100.0,80.0,Each,Coleman
60101,Lego Set,Building Sets,30.0,24.0,Each,Lego
70101,Dish Soap,Cleaning Supplies,2.5,2.0,Bottle,Dawn
70201,Toaster,Kitchen Appliances,25.0,20.0,Each,Hamilton Beach
70301,Wall Art,Decor,20.0,16.0,Each,Mainstays
10103,Butter,Dairy,3.0,2.4,Pound,Land O'Lakes
10104,Eggs,Dairy,2.5,2.0,Dozen,Great Value
10105,Cream,Dairy,2.0,1.6,Pint,Horizon Organic
10203,Bagels,Bakery,3.5,2.8,Pack,Thomas
10204,Cookies,Bakery,4.0,3.2,Pack,Chips Ahoy
10205,Donuts,Bakery,5.0,4.0,Pack,Krispy Kreme
20103,Google Pixel,Mobile Phones,699.0,559.2,Each,Google
20104,OnePlus,Mobile Phones,549.0,439.2,Each,OnePlus
20203,Power Bank,Accessories,30.0,24.0,Each,Mi
20204,Wireless Mouse,Accessories,25.0,20.0,Each,Logitech
30103,Men's Jacket,Men's Clothing,60.0,48.0,Each,Columbia
30104,Men's Sweater,Men's Clothing,40.0,32.0,Each,Gap
30203,Women's Blouse,Women's Clothing,35.0,28.0,Each,Old Navy
30204,Women's Scarf,Women's Clothing,15.0,12.0,Each,H&M
40102,Coffee Table,Living Room Furniture,150.0,120.0,Each,IKEA
40103,TV Stand,Living Room Furniture,200.0,160.0,Each,Wayfair
50102,Sleeping Bag,Outdoor Gear,40.0,32.0,Each,REI
